date;gracia;pr;eixample;prat;montcada;ciutadella;hebron;badalona
2017-06-01 01:00:00;29.0;24.0;34.0;28.0;26.0;43.0;21.0;46.0
2017-06-01 02:00:00;16.0;14.0;27.0;27.0;17.0;9.0;46.0;24.0
2017-06-01 03:00:00;11.0;14.0;9.0;22.0;11.0;4.0;40.0;17.0
2017-06-01 04:00:00;13.0;27.0;14.0;23.0;10.0;4.0;21.0;8.0
2017-06-01 05:00:00;40.0;33.0;42.0;16.0;5.0;2.0;21.0;13.0
2017-06-01 06:00:00;14.0;26.0;21.0;13.0;2.0;2.0;10.0;2.0
2017-06-01 07:00:00;7.0;11.0;5.0;17.0;4.0;5.0;11.0;7.0
2017-06-01 08:00:00;14.0;18.0;9.0;19.0;9.0;19.0;27.0;18.0
2017-06-01 09:00:00;13.0;25.0;15.0;34.0;19.0;34.0;27.0;55.0
2017-06-01 10:00:00;17.0;45.0;19.0;64.0;53.0;54.0;44.0;72.0
2017-06-01 11:00:00;28.0;65.0;28.0;89.0;66.0;68.0;56.0;84.0
2017-06-01 12:00:00;38.0;90.0;39.0;95.0;86.0;68.0;74.0;102.0
2017-06-01 13:00:00;50.0;104.0;58.0;105.0;103.0;86.0;85.0;110.0
2017-06-01 14:00:00;72.0;122.0;76.0;122.0;114.0;95.0;103.0;110.0
2017-06-01 15:00:00;86.0;125.0;81.0;123.0;114.0;87.0;118.0;109.0
2017-06-01 16:00:00;69.0;118.0;64.0;105.0;116.0;74.0;110.0;115.0
2017-06-01 17:00:00;62.0;89.0;53.0;104.0;104.0;96.0;101.0;115.0
2017-06-01 18:00:00;65.0;84.0;58.0;104.0;99.0;93.0;105.0;99.0
2017-06-01 19:00:00;46.0;75.0;46.0;110.0;81.0;61.0;88.0;87.0
2017-06-01 20:00:00;42.0;78.0;37.0;104.0;65.0;35.0;77.0;77.0
2017-06-01 21:00:00;38.0;65.0;32.0;95.0;73.0;59.0;57.0;88.0
2017-06-01 22:00:00;15.0;54.0;24.0;84.0;63.0;59.0;32.0;92.0
2017-06-01 23:00:00;32.0;48.0;38.0;73.0;43.0;43.0;37.0;91.0
2017-06-02 00:00:00;58.0;64.0;51.0;49.0;25.0;37.0;39.0;45.0
2017-06-02 01:00:00;65.0;58.0;58.0;33.0;9.0;31.0;35.0;22.0
2017-06-02 02:00:00;53.0;54.0;54.0;35.0;5.0;25.0;58.0;11.0
2017-06-02 03:00:00;53.0;65.0;38.0;29.0;12.0;28.0;63.0;44.0
2017-06-02 04:00:00;53.0;36.0;43.0;19.0;31.0;28.0;63.0;57.0
2017-06-02 05:00:00;21.0;56.0;16.0;17.0;26.0;14.0;55.0;45.0
2017-06-02 06:00:00;5.0;31.0;3.0;17.0;7.0;9.0;39.0;29.0
2017-06-02 07:00:00;6.0;17.0;10.0;20.0;4.0;4.0;31.0;21.0
2017-06-02 08:00:00;32.0;54.0;35.0;29.0;13.0;26.0;33.0;15.0
2017-06-02 09:00:00;40.0;54.0;34.0;70.0;20.0;29.0;64.0;26.0
2017-06-02 10:00:00;41.0;61.0;45.0;85.0;31.0;44.0;70.0;51.0
2017-06-02 13:00:00;55.0;80.0;53.0;94.0;83.0;67.0;88.0;90.0
2017-06-02 15:00:00;55.0;78.0;55.0;97.0;80.0;65.0;88.0;86.0
2017-06-02 16:00:00;55.0;81.0;51.0;96.0;81.0;66.0;88.0;73.0
2017-06-02 17:00:00;48.0;72.0;45.0;92.0;70.0;56.0;84.0;67.0
2017-06-02 18:00:00;53.0;74.0;49.0;93.0;70.0;55.0;82.0;82.0
2017-06-02 19:00:00;32.0;72.0;25.0;94.0;69.0;43.0;64.0;72.0
2017-06-02 20:00:00;46.0;39.0;41.0;75.0;60.0;48.0;56.0;70.0
2017-06-02 21:00:00;39.0;40.0;31.0;72.0;49.0;46.0;56.0;56.0
2017-06-02 22:00:00;28.0;29.0;23.0;49.0;26.0;30.0;39.0;35.0
2017-06-02 23:00:00;37.0;52.0;27.0;53.0;18.0;26.0;67.0;31.0
2017-06-03 00:00:00;23.0;42.0;26.0;57.0;15.0;14.0;59.0;27.0
2017-06-03 01:00:00;25.0;34.0;36.0;64.0;15.0;29.0;38.0;11.0
2017-06-03 02:00:00;39.0;41.0;41.0;73.0;14.0;38.0;26.0;9.0
2017-06-03 03:00:00;28.0;36.0;42.0;43.0;12.0;45.0;45.0;15.0
2017-06-03 04:00:00;33.0;33.0;17.0;41.0;11.0;22.0;31.0;39.0
2017-06-03 05:00:00;42.0;57.0;36.0;22.0;13.0;22.0;60.0;25.0
2017-06-03 06:00:00;55.0;67.0;25.0;35.0;11.0;27.0;68.0;23.0
2017-06-03 07:00:00;51.0;48.0;44.0;41.0;1.0;16.0;55.0;21.0
2017-06-03 08:00:00;35.0;43.0;38.0;51.0;22.0;14.0;46.0;19.0
2017-06-03 09:00:00;45.0;50.0;40.0;85.0;49.0;37.0;64.0;37.0
2017-06-03 10:00:00;46.0;58.0;46.0;90.0;71.0;47.0;70.0;58.0
2017-06-03 11:00:00;46.0;69.0;44.0;93.0;66.0;40.0;74.0;68.0
2017-06-03 12:00:00;73.0;72.0;60.0;94.0;71.0;65.0;91.0;68.0
2017-06-03 13:00:00;66.0;74.0;56.0;93.0;77.0;21.0;77.0;58.0
2017-06-03 14:00:00;87.0;83.0;74.0;104.0;88.0;73.0;91.0;86.0
2017-06-03 15:00:00;97.0;93.0;85.0;99.0;89.0;91.0;97.0;95.0
2017-06-03 16:00:00;94.0;98.0;84.0;101.0;98.0;93.0;102.0;94.0
2017-06-03 17:00:00;91.0;107.0;82.0;110.0;110.0;64.0;110.0;108.0
2017-06-03 18:00:00;93.0;110.0;81.0;119.0;106.0;47.0;118.0;109.0
2017-06-03 19:00:00;87.0;109.0;78.0;131.0;99.0;58.0;114.0;74.0
2017-06-03 20:00:00;80.0;100.0;80.0;130.0;83.0;75.0;106.0;66.0
2017-06-03 21:00:00;86.0;100.0;91.0;143.0;68.0;68.0;90.0;70.0
2017-06-03 22:00:00;89.0;91.0;89.0;126.0;56.0;75.0;94.0;85.0
2017-06-03 23:00:00;76.0;88.0;70.0;90.0;86.0;77.0;91.0;87.0
2017-06-04 00:00:00;73.0;84.0;66.0;89.0;82.0;70.0;87.0;83.0
2017-06-04 01:00:00;73.0;83.0;66.0;90.0;80.0;69.0;84.0;76.0
2017-06-04 02:00:00;64.0;78.0;65.0;80.0;58.0;62.0;80.0;76.0
2017-06-04 03:00:00;60.0;77.0;56.0;80.0;38.0;61.0;71.0;75.0
2017-06-04 04:00:00;65.0;68.0;72.0;72.0;31.0;61.0;56.0;55.0
2017-06-04 05:00:00;64.0;60.0;59.0;49.0;20.0;52.0;54.0;56.0
2017-06-04 06:00:00;57.0;64.0;54.0;52.0;18.0;39.0;58.0;43.0
2017-06-04 07:00:00;62.0;64.0;61.0;55.0;22.0;42.0;76.0;43.0
2017-06-04 08:00:00;68.0;79.0;66.0;58.0;35.0;53.0;77.0;63.0
2017-06-04 09:00:00;60.0;65.0;57.0;60.0;50.0;50.0;61.0;75.0
2017-06-04 10:00:00;65.0;65.0;65.0;61.0;58.0;61.0;60.0;77.0
2017-06-04 11:00:00;60.0;63.0;51.0;75.0;61.0;55.0;64.0;70.0
2017-06-04 12:00:00;68.0;82.0;57.0;85.0;79.0;55.0;81.0;70.0
2017-06-04 13:00:00;45.0;76.0;49.0;87.0;77.0;65.0;67.0;81.0
2017-06-04 14:00:00;74.0;86.0;74.0;100.0;79.0;56.0;90.0;87.0
2017-06-04 15:00:00;82.0;93.0;71.0;106.0;75.0;26.0;99.0;77.0
2017-06-04 16:00:00;71.0;88.0;59.0;96.0;81.0;17.0;98.0;65.0
2017-06-04 17:00:00;61.0;67.0;45.0;88.0;69.0;36.0;76.0;68.0
2017-06-04 18:00:00;64.0;70.0;60.0;86.0;81.0;53.0;71.0;81.0
2017-06-04 19:00:00;71.0;75.0;68.0;71.0;69.0;60.0;65.0;72.0
2017-06-04 20:00:00;59.0;63.0;38.0;63.0;57.0;47.0;64.0;73.0
2017-06-04 21:00:00;11.0;48.0;5.0;65.0;38.0;31.0;36.0;73.0
2017-06-04 22:00:00;7.0;54.0;6.0;59.0;26.0;28.0;41.0;73.0
2017-06-04 23:00:00;27.0;26.0;11.0;58.0;34.0;34.0;48.0;76.0
2017-06-05 00:00:00;51.0;26.0;37.0;54.0;10.0;36.0;67.0;76.0
2017-06-05 01:00:00;59.0;60.0;50.0;53.0;38.0;52.0;74.0;61.0
2017-06-05 02:00:00;55.0;60.0;54.0;72.0;34.0;55.0;62.0;49.0
2017-06-05 03:00:00;47.0;45.0;42.0;60.0;31.0;46.0;42.0;40.0
2017-06-05 04:00:00;44.0;33.0;37.0;53.0;31.0;35.0;31.0;33.0
2017-06-05 05:00:00;50.0;42.0;42.0;50.0;35.0;42.0;50.0;41.0
2017-06-05 06:00:00;55.0;50.0;49.0;43.0;46.0;46.0;60.0;51.0
2017-06-05 07:00:00;44.0;45.0;40.0;51.0;33.0;45.0;45.0;41.0
2017-06-05 08:00:00;45.0;38.0;41.0;32.0;25.0;26.0;45.0;40.0
2017-06-05 09:00:00;35.0;24.0;30.0;41.0;29.0;21.0;36.0;35.0
2017-06-05 10:00:00;33.0;28.0;29.0;59.0;32.0;30.0;41.0;33.0
2017-06-05 11:00:00;28.0;32.0;28.0;54.0;21.0;30.0;30.0;35.0
2017-06-05 12:00:00;33.0;40.0;36.0;60.0;25.0;38.0;34.0;34.0
2017-06-05 13:00:00;44.0;46.0;44.0;65.0;46.0;47.0;39.0;44.0
2017-06-05 14:00:00;63.0;60.0;55.0;69.0;61.0;60.0;59.0;58.0
2017-06-05 15:00:00;65.0;67.0;59.0;80.0;64.0;49.0;67.0;64.0
2017-06-05 16:00:00;71.0;81.0;74.0;88.0;74.0;65.0;84.0;71.0
2017-06-05 17:00:00;79.0;92.0;75.0;89.0;84.0;57.0;93.0;84.0
2017-06-05 18:00:00;75.0;83.0;65.0;81.0;82.0;50.0;91.0;76.0
2017-06-05 19:00:00;69.0;72.0;60.0;79.0;66.0;49.0;79.0;71.0
2017-06-05 20:00:00;60.0;59.0;51.0;76.0;62.0;57.0;78.0;61.0
2017-06-05 21:00:00;48.0;47.0;38.0;70.0;50.0;55.0;76.0;54.0
2017-06-05 22:00:00;58.0;59.0;46.0;65.0;30.0;53.0;78.0;48.0
2017-06-05 23:00:00;65.0;69.0;59.0;68.0;37.0;61.0;80.0;31.0
2017-06-06 00:00:00;65.0;64.0;54.0;69.0;33.0;55.0;76.0;26.0
2017-06-06 01:00:00;62.0;71.0;53.0;72.0;20.0;56.0;66.0;48.0
2017-06-06 02:00:00;62.0;66.0;54.0;70.0;17.0;55.0;53.0;42.0
2017-06-06 03:00:00;62.0;63.0;51.0;51.0;15.0;28.0;51.0;44.0
2017-06-06 04:00:00;56.0;70.0;55.0;56.0;14.0;23.0;65.0;39.0
2017-06-06 05:00:00;61.0;61.0;54.0;20.0;10.0;37.0;71.0;38.0
2017-06-06 06:00:00;48.0;34.0;35.0;43.0;3.0;43.0;61.0;31.0
2017-06-06 07:00:00;36.0;37.0;18.0;24.0;6.0;16.0;24.0;28.0
2017-06-06 08:00:00;24.0;45.0;22.0;44.0;34.0;30.0;37.0;30.0
2017-06-06 09:00:00;29.0;44.0;31.0;73.0;50.0;34.0;57.0;35.0
2017-06-06 10:00:00;36.0;51.0;40.0;77.0;64.0;36.0;63.0;53.0
2017-06-06 11:00:00;41.0;57.0;34.0;79.0;62.0;42.0;85.0;70.0
2017-06-06 12:00:00;46.0;73.0;46.0;91.0;65.0;66.0;65.0;80.0
2017-06-06 13:00:00;66.0;94.0;67.0;111.0;90.0;57.0;94.0;103.0
2017-06-06 14:00:00;98.0;110.0;81.0;120.0;125.0;130.0;128.0;154.0
2017-06-06 15:00:00;115.0;130.0;117.0;115.0;114.0;126.0;128.0;150.0
2017-06-06 16:00:00;81.0;95.0;71.0;110.0;95.0;67.0;100.0;89.0
2017-06-06 17:00:00;70.0;77.0;63.0;97.0;81.0;65.0;86.0;78.0
2017-06-06 18:00:00;54.0;74.0;59.0;82.0;79.0;61.0;82.0;78.0
2017-06-06 19:00:00;55.0;71.0;49.0;82.0;78.0;56.0;77.0;75.0
2017-06-06 20:00:00;47.0;64.0;49.0;76.0;69.0;52.0;73.0;68.0
2017-06-06 21:00:00;57.0;63.0;50.0;83.0;69.0;62.0;77.0;73.0
2017-06-06 22:00:00;48.0;65.0;42.0;81.0;59.0;61.0;74.0;75.0
2017-06-06 23:00:00;43.0;68.0;26.0;76.0;56.0;63.0;64.0;78.0
2017-06-07 00:00:00;41.0;66.0;36.0;76.0;39.0;55.0;72.0;70.0
2017-06-07 01:00:00;51.0;53.0;35.0;61.0;29.0;27.0;62.0;47.0
2017-06-07 02:00:00;50.0;61.0;52.0;61.0;21.0;38.0;62.0;36.0
2017-06-07 03:00:00;56.0;59.0;52.0;60.0;16.0;43.0;64.0;52.0
2017-06-07 04:00:00;53.0;60.0;48.0;60.0;15.0;36.0;58.0;55.0
